Original,Target,Condition
(or RewriteX (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and (or RewriteX RewriteY) (or RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(and (or RewriteX RewriteY) (or RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(or RewriteX (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(or (and RewriteX RewriteY) (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and RewriteY (or RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(and RewriteY (or RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(or (and RewriteX RewriteY) (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(or RewriteX (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(or RewriteX (xor RewriteZ (or RewriteX RewriteY)));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(or RewriteX (xor RewriteZ (or RewriteX RewriteY)));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(or RewriteX (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(xor (and RewriteX RewriteY) (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and RewriteY (xor RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(and RewriteY (xor RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(xor (and RewriteX RewriteY) (and RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(and RewriteX (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and RewriteX (xor RewriteY (and RewriteZ RewriteX)));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(and RewriteX (xor RewriteY (and RewriteZ RewriteX)));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and RewriteX (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(xor (or RewriteX RewriteY) (or RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(and (not RewriteX) (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(and (not RewriteX) (xor RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(xor (or RewriteX RewriteY) (or RewriteX RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(xor RewriteX (or RewriteY (xor RewriteX RewriteZ)));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(xor (and RewriteX RewriteY) (or RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(xor (and RewriteX RewriteY) (or RewriteY RewriteZ));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,(xor RewriteX (or RewriteY (xor RewriteX RewriteZ)));RewriteX:Bool;RewriteY:Bool;RewriteZ:Bool,
(xor RewriteX RewriteY);RewriteX:Bool;RewriteY:Bool,(xor RewriteY RewriteX);RewriteX:Bool;RewriteY:Bool,
(xor RewriteY RewriteX);RewriteX:Bool;RewriteY:Bool,(xor RewriteX RewriteY);RewriteX:Bool;RewriteY:Bool,
(and RewriteX RewriteY);RewriteX:Bool;RewriteY:Bool,(and RewriteY RewriteX);RewriteX:Bool;RewriteY:Bool,
(and RewriteY RewriteX);RewriteX:Bool;RewriteY:Bool,(and RewriteX RewriteY);RewriteX:Bool;RewriteY:Bool,
(or RewriteX RewriteY);RewriteX:Bool;RewriteY:Bool,(or RewriteY RewriteX);RewriteX:Bool;RewriteY:Bool,
(not (xor RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,(xor RewriteY (not RewriteX));RewriteX:Bool;RewriteY:Bool,
(xor RewriteY (not RewriteX));RewriteX:Bool;RewriteY:Bool,(not (xor RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,
(xor RewriteX (xor RewriteX RewriteY));RewriteX:Bool;RewriteY:Bool,RewriteY;RewriteY:Bool,
